20,20,15,15,5,5,10,70,5,0,0,45,40,0,5,0,45,45,45,10
25,15,5,35,15,5,5,35,5,15,5,45,45,15,15,0,50,40,45,5
30,45,45,55,55,25,25,20,15,20,0,25,30,20,45,5,45,50,65,25
35,85,65,85,35,70,70,45,20,85,35,35,40,75,70,65,60,60,55,70
55,65,80,65,55,70,40,75,60,70,10,80,55,65,45,45,75,70,70,70
60,55,65,80,55,65,45,70,35,55,15,60,40,45,40,55,80,90,60,70
60,65,75,85,65,55,65,70,60,65,10,60,50,60,65,25,70,75,55,70
65,65,70,70,45,65,55,65,45,80,5,60,60,65,55,55,80,75,70,60
25,35,15,35,5,20,0,45,15,0,0,35,40,10,10,15,20,40,70,60
25,25,15,25,15,20,0,45,15,0,0,35,30,25,5,10,30,30,65,15
35,30,35,65,30,15,0,45,25,0,0,45,70,25,10,0,20,40,35,45
25,30,25,35,15,45,20,55,15,0,0,20,40,45,15,15,40,35,65,5
20,15,35,25,20,35,15,45,30,15,0,5,45,70,15,15,35,35,25,15
20,15,5,15,30,15,10,15,35,20,35,20,15,15,15,20,15,35,25,25
15,25,30,30,30,30,15,15,35,20,30,15,30,15,25,10,35,30,30,25
15,55,25,65,20,65,50,15,30,35,5,15,30,70,35,30,30,35,25,35
70,65,85,70,60,75,70,75,75,85,10,70,65,70,55,55,85,70,75,45
75,70,70,65,60,70,55,45,70,20,10,60,60,65,55,55,85,85,55,55
80,80,80,95,55,65,45,25,55,75,5,45,50,55,75,35,80,75,60,65
85,70,70,80,45,65,70,45,60,85,15,70,55,70,75,80,90,65,65,75
30,10,20,10,15,25,5,75,10,10,0,25,25,20,5,5,55,45,65,20
30,15,20,20,10,10,5,45,5,5,0,20,30,5,15,5,15,50,55,10
25,40,35,35,55,25,25,25,35,70,0,80,65,15,55,10,60,50,65,25
30,65,55,70,20,80,75,65,20,80,0,15,35,85,70,55,40,85,55,55